Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151
ERR12384777_1	33.3579	35.8241	36.5707	36.6782	36.4717	36.585	36.6378	36.5928	36.7578	36.6447	36.7418	36.6771	36.7311	36.6841	36.6416	36.6748	36.6736	36.6826	36.6834	36.6864	36.6689	36.652	36.6716	36.6661	36.6656	36.667	36.636	36.6405	36.6464	36.6473	36.6383	36.6451	36.6391	36.6189	36.637	36.6311	36.636	36.6343	36.5928	36.6236	36.6106	36.6124	36.6033	36.6131	36.5964	36.6245	36.6017	36.6053	36.6077	36.6041	36.5984	36.5909	36.6047	36.5769	36.573	36.5788	36.5564	36.6005	36.5779	36.5839	36.5851	36.5796	36.5748	36.5676	36.5601	36.5683	36.559	36.582	36.5542	36.5772	36.5518	36.5461	36.5413	36.546	36.5647	36.564	36.5392	36.5548	36.5425	36.5651	36.5312	36.5332	36.5367	36.538	36.5563	36.5361	36.5292	36.5327	36.5205	36.521	36.5162	36.4904	36.5384	36.4867	36.5049	36.4896	36.5027	36.4999	36.4999	36.4987	36.4946	36.4834	36.4881	36.4677	36.4558	36.4439	36.4343	36.3974	36.4335	36.4243	36.4131	36.3859	36.3942	36.3637	36.3727	36.4343	36.3808	36.3887	36.3646	36.3442	36.3409	36.293	36.2845	36.3289	36.3085	36.2983	36.3128	36.3393	36.3101	36.3024	36.2552	36.2822	36.2757	36.2764	36.2781	36.2918	36.2921	36.3098	36.3137	36.3021	36.2894	36.2877	36.284	36.2538	36.24	36.3118	36.3162	36.4456	36.4291	36.4195	34.5675
ERR12384780_1	33.3613	35.7997	36.57	36.6896	36.4982	36.6148	36.6409	36.6031	36.7636	36.6579	36.7573	36.6909	36.7559	36.6963	36.6576	36.6812	36.691	36.6914	36.6954	36.7155	36.6884	36.6589	36.6809	36.6942	36.6894	36.6837	36.651	36.6714	36.6753	36.6567	36.6599	36.6533	36.6481	36.6334	36.6558	36.6551	36.6589	36.6566	36.6138	36.6392	36.6344	36.6378	36.6177	36.6126	36.6145	36.625	36.6145	36.6185	36.6146	36.6322	36.6237	36.6258	36.6177	36.6061	36.6053	36.6122	36.5783	36.6239	36.5971	36.601	36.614	36.5911	36.5802	36.5962	36.5723	36.5872	36.5737	36.6054	36.566	36.5839	36.5704	36.5635	36.5557	36.5869	36.5911	36.5801	36.5741	36.5679	36.566	36.5861	36.5577	36.5644	36.565	36.5657	36.5784	36.5581	36.5587	36.5673	36.5362	36.5462	36.5396	36.5264	36.5673	36.5079	36.5336	36.5022	36.5218	36.5095	36.5107	36.515	36.5276	36.512	36.5093	36.491	36.4847	36.4722	36.4604	36.4398	36.4642	36.46	36.447	36.4329	36.4235	36.4011	36.4048	36.4378	36.417	36.4223	36.404	36.3844	36.3451	36.3565	36.3314	36.3625	36.349	36.3638	36.3492	36.3718	36.3346	36.3518	36.297	36.3397	36.2936	36.2908	36.3167	36.3358	36.3179	36.3295	36.3435	36.3417	36.3192	36.3146	36.3233	36.2865	36.2841	36.3524	36.34	36.4817	36.464	36.4443	34.6191
ERR12384781_1	33.3522	35.7989	36.5432	36.6506	36.4349	36.5644	36.6116	36.5666	36.726	36.6045	36.7256	36.6423	36.707	36.6544	36.6211	36.6394	36.637	36.6542	36.6419	36.6634	36.6378	36.6161	36.6467	36.6416	36.6389	36.6368	36.5868	36.6243	36.6167	36.6057	36.6091	36.6175	36.6166	36.5871	36.6132	36.5937	36.5964	36.6057	36.5598	36.5875	36.5837	36.5708	36.5683	36.5573	36.5579	36.5678	36.5614	36.5728	36.5698	36.5659	36.5625	36.5445	36.5722	36.5385	36.5472	36.5414	36.5274	36.5687	36.5295	36.5412	36.5474	36.5367	36.5218	36.519	36.5247	36.5331	36.5138	36.5254	36.502	36.5316	36.5018	36.5134	36.507	36.5097	36.5107	36.5129	36.4911	36.4875	36.5075	36.5249	36.4831	36.4933	36.4964	36.4925	36.5208	36.504	36.4785	36.4991	36.483	36.491	36.4626	36.4521	36.4941	36.4453	36.4666	36.4333	36.4634	36.4645	36.4451	36.4409	36.4597	36.4268	36.4229	36.419	36.4018	36.4062	36.3866	36.3584	36.3927	36.3711	36.3428	36.3404	36.3257	36.325	36.346	36.3695	36.3378	36.3437	36.3158	36.2963	36.2766	36.2529	36.2331	36.2882	36.2478	36.2756	36.2585	36.2637	36.2455	36.2528	36.1853	36.2101	36.2118	36.2255	36.2121	36.2451	36.2239	36.2496	36.263	36.2621	36.2386	36.2096	36.2372	36.211	36.2103	36.2552	36.2484	36.3959	36.3936	36.3728	34.5592
ERR12384783_1	33.3535	35.8152	36.5608	36.6727	36.4583	36.5805	36.6295	36.5946	36.7409	36.6367	36.7334	36.6684	36.7338	36.6733	36.6236	36.6668	36.6729	36.6632	36.6634	36.696	36.6698	36.6348	36.6676	36.6653	36.6729	36.6582	36.612	36.6477	36.6535	36.6433	36.6461	36.6293	36.6353	36.6184	36.6346	36.6077	36.6226	36.6334	36.5999	36.6141	36.6007	36.6175	36.5937	36.5984	36.5894	36.6102	36.582	36.6073	36.591	36.597	36.5766	36.5888	36.5993	36.5642	36.5705	36.5636	36.5468	36.5962	36.5699	36.5631	36.5732	36.5691	36.5522	36.5501	36.551	36.5597	36.5461	36.5669	36.5216	36.5352	36.5356	36.5426	36.5242	36.5351	36.5373	36.5432	36.5376	36.5387	36.5249	36.5612	36.5165	36.5307	36.5268	36.5231	36.5569	36.5354	36.4986	36.5157	36.5011	36.5142	36.5117	36.4791	36.5305	36.4602	36.5042	36.4776	36.4891	36.4776	36.4855	36.4715	36.4961	36.4648	36.4611	36.4609	36.4308	36.4388	36.4246	36.3901	36.4144	36.43	36.3899	36.3851	36.3574	36.367	36.3512	36.4064	36.385	36.3692	36.3459	36.3362	36.3168	36.2879	36.2568	36.3164	36.2877	36.3124	36.3013	36.3201	36.2951	36.2721	36.2384	36.2801	36.2448	36.2629	36.2463	36.2744	36.262	36.2893	36.2878	36.2799	36.2721	36.2561	36.2632	36.2457	36.2253	36.2853	36.3002	36.421	36.404	36.3888	34.5634
ERR12384784_1	33.4274	36.5851	36.5776	36.6959	36.4637	36.6552	36.6717	36.6292	36.7812	36.6898	36.7598	36.692	36.7435	36.6956	36.6669	36.6522	36.6728	36.6784	36.6633	36.6841	36.6833	36.6456	36.676	36.6576	36.6863	36.6778	36.6269	36.6594	36.6635	36.6557	36.641	36.6488	36.6447	36.6354	36.643	36.6351	36.6369	36.6457	36.5943	36.6334	36.6204	36.6352	36.6127	36.6153	36.6199	36.6453	36.5923	36.6213	36.6233	36.6237	36.6254	36.6241	36.6316	36.5842	36.6094	36.6042	36.6022	36.6318	36.6033	36.5807	36.6075	36.586	36.5926	36.5978	36.5618	36.5984	36.5763	36.5626	36.5753	36.5673	36.5689	36.547	36.5499	36.5637	36.5764	36.5512	36.531	36.5455	36.5366	36.5293	36.5246	36.5225	36.5406	36.5207	36.543	36.5182	36.5194	36.5286	36.4963	36.5078	36.51	36.5027	36.5283	36.4871	36.5053	36.5017	36.5232	36.5223	36.492	36.473	36.4893	36.4701	36.4875	36.4391	36.4272	36.4213	36.4227	36.421	36.4193	36.4042	36.3802	36.3916	36.3738	36.3867	36.3431	36.398	36.3254	36.3596	36.3317	36.3647	36.3386	36.311	36.3051	36.2894	36.2588	36.2925	36.2823	36.2882	36.2504	36.2665	36.2465	36.2667	36.2806	36.2348	36.2347	36.2102	36.1815	36.1897	36.1768	36.2292	36.1781	36.1669	36.1374	36.1341	36.0569	36.1198	36.1499	36.3109	36.2999	36.291	33.4533
ERR12384785_1	33.3597	35.7538	36.5769	36.7083	36.5363	36.6285	36.6804	36.6338	36.7957	36.6959	36.7898	36.7205	36.7788	36.74	36.6915	36.7261	36.7265	36.7283	36.7116	36.7339	36.6967	36.7035	36.7108	36.7141	36.7205	36.708	36.6817	36.6995	36.685	36.6932	36.6785	36.6947	36.6736	36.6762	36.6852	36.6723	36.6894	36.6891	36.6446	36.6694	36.6566	36.6585	36.6591	36.6459	36.6627	36.6692	36.6402	36.6643	36.6526	36.6445	36.6469	36.6351	36.6557	36.6407	36.6303	36.6358	36.6189	36.6652	36.638	36.6165	36.6461	36.6269	36.6418	36.629	36.6113	36.6372	36.6114	36.6266	36.6087	36.6132	36.6084	36.5998	36.6044	36.6182	36.6123	36.6166	36.59	36.603	36.6044	36.6192	36.5891	36.6042	36.6041	36.5905	36.6249	36.6002	36.5861	36.6013	36.5806	36.5838	36.5875	36.5698	36.6002	36.5454	36.5676	36.5766	36.5543	36.5534	36.5792	36.5476	36.5585	36.5567	36.5369	36.5311	36.5234	36.5211	36.5155	36.484	36.5192	36.5193	36.4925	36.4868	36.4845	36.4576	36.4667	36.4973	36.4709	36.475	36.4644	36.4324	36.4401	36.3884	36.4042	36.4179	36.4005	36.4204	36.3954	36.4127	36.3898	36.3834	36.3587	36.3661	36.3751	36.3619	36.3572	36.3642	36.3581	36.3877	36.4199	36.3841	36.3806	36.3715	36.3618	36.3268	36.3445	36.4064	36.3892	36.4991	36.4853	36.4767	34.6179
ERR12384786_1	33.5675	36.5597	36.6106	36.7126	36.5153	36.6869	36.7135	36.6703	36.8052	36.7348	36.7825	36.7286	36.7664	36.7431	36.6886	36.6942	36.7187	36.7256	36.7005	36.7317	36.6942	36.6786	36.7104	36.7102	36.7118	36.6927	36.6627	36.6957	36.6925	36.6821	36.6953	36.6881	36.6814	36.675	36.6713	36.6721	36.6673	36.6677	36.6504	36.6633	36.6622	36.6705	36.656	36.6533	36.6535	36.6648	36.6528	36.6641	36.6596	36.6475	36.6481	36.6455	36.6644	36.6316	36.6394	36.6388	36.621	36.6605	36.6463	36.6327	36.6339	36.6257	36.6254	36.6214	36.6005	36.6299	36.6026	36.6111	36.612	36.6071	36.6067	36.5844	36.5848	36.6048	36.6052	36.595	36.5631	36.5859	36.5792	36.5887	36.5586	36.5692	36.5767	36.575	36.5687	36.5687	36.5561	36.5687	36.5656	36.5576	36.5613	36.5448	36.5707	36.5381	36.5563	36.5344	36.5551	36.5724	36.5542	36.5195	36.5352	36.5134	36.5205	36.4875	36.4835	36.4561	36.4685	36.4472	36.463	36.4553	36.4288	36.425	36.4229	36.4052	36.4003	36.4229	36.3894	36.3802	36.3862	36.3928	36.4008	36.3743	36.3478	36.3561	36.3158	36.3357	36.3317	36.3276	36.3092	36.3102	36.2741	36.3164	36.3071	36.2851	36.2802	36.252	36.2447	36.2717	36.2506	36.2692	36.2356	36.1962	36.1948	36.1631	36.1612	36.1737	36.1974	36.3465	36.3296	36.2984	33.5091
ERR12384787_1	33.2082	36.4611	36.5031	36.6334	36.3586	36.5957	36.632	36.591	36.731	36.6469	36.7328	36.6584	36.7063	36.6392	36.5949	36.6107	36.6423	36.6448	36.6299	36.6554	36.6236	36.597	36.6397	36.6298	36.6279	36.616	36.5772	36.6084	36.6203	36.6038	36.6023	36.5921	36.6113	36.5853	36.6011	36.5824	36.5757	36.5902	36.5777	36.5892	36.5796	36.5895	36.579	36.5679	36.5602	36.5907	36.5453	36.5815	36.5746	36.5777	36.5642	36.5695	36.5647	36.5528	36.5525	36.5543	36.5208	36.5544	36.5502	36.5413	36.5453	36.5439	36.5193	36.5302	36.5167	36.5318	36.5204	36.5309	36.5096	36.5197	36.5137	36.5029	36.4829	36.497	36.5238	36.4949	36.4868	36.4894	36.4788	36.4855	36.4481	36.4551	36.4703	36.4743	36.4733	36.4805	36.4589	36.4607	36.4608	36.4592	36.4454	36.4344	36.4679	36.4346	36.4366	36.4335	36.4737	36.4381	36.4442	36.4331	36.4144	36.415	36.4188	36.3934	36.38	36.3662	36.3463	36.3394	36.3778	36.3681	36.3398	36.3215	36.3278	36.3058	36.2764	36.3159	36.2558	36.2803	36.267	36.2778	36.2852	36.2369	36.2274	36.2522	36.1836	36.2025	36.2023	36.215	36.1867	36.2168	36.1316	36.1985	36.1939	36.183	36.1523	36.1607	36.1292	36.1448	36.1246	36.1508	36.1194	36.0756	36.0641	36.0612	36.0243	36.059	36.0532	36.2624	36.2521	36.2479	33.4333
ERR12384788_1	33.3481	35.8236	36.5855	36.689	36.4821	36.5945	36.638	36.6189	36.76	36.6673	36.7559	36.6873	36.7439	36.6826	36.655	36.6827	36.6977	36.6801	36.6889	36.6992	36.6773	36.6555	36.6852	36.6767	36.678	36.6726	36.6352	36.6683	36.6584	36.6569	36.6546	36.6567	36.6525	36.6277	36.6544	36.6421	36.6368	36.6587	36.6134	36.6426	36.6268	36.624	36.6223	36.6151	36.6031	36.6237	36.5905	36.6257	36.6105	36.618	36.6165	36.6066	36.611	36.5973	36.5795	36.5958	36.5672	36.6142	36.5868	36.5885	36.59	36.5965	36.5706	36.5732	36.5732	36.5776	36.5727	36.5829	36.5613	36.5687	36.5651	36.5607	36.5573	36.5666	36.57	36.5648	36.5617	36.5538	36.5605	36.5793	36.5227	36.5419	36.5428	36.5441	36.5677	36.5402	36.5282	36.5506	36.5299	36.5283	36.517	36.4938	36.5434	36.508	36.5219	36.506	36.5146	36.514	36.5085	36.509	36.5086	36.4941	36.4852	36.4856	36.4597	36.452	36.4447	36.4223	36.4585	36.4462	36.4377	36.3909	36.3856	36.3974	36.3899	36.4339	36.3908	36.3922	36.3791	36.3721	36.3543	36.3482	36.3037	36.3431	36.3241	36.3538	36.3302	36.3477	36.3203	36.3148	36.2736	36.3058	36.2931	36.3037	36.2768	36.3136	36.2856	36.3217	36.3378	36.3158	36.3229	36.2886	36.2899	36.2799	36.2748	36.3139	36.3495	36.4534	36.4522	36.4154	34.5883
ERR12384789_1	33.283	36.4917	36.5326	36.6555	36.4049	36.6271	36.6579	36.5941	36.7479	36.6599	36.7451	36.6735	36.7164	36.6723	36.6214	36.6407	36.661	36.6552	36.6443	36.6666	36.6514	36.6281	36.6515	36.6463	36.6679	36.6432	36.5973	36.6265	36.6355	36.6271	36.6169	36.6149	36.6068	36.5962	36.6136	36.6084	36.6045	36.605	36.5769	36.6119	36.5958	36.6123	36.5957	36.6051	36.5887	36.6045	36.589	36.5944	36.6002	36.5974	36.5831	36.5803	36.5837	36.5538	36.5747	36.5678	36.5533	36.6019	36.5871	36.5541	36.5511	36.5686	36.5482	36.5634	36.5245	36.5453	36.5381	36.5358	36.538	36.5215	36.5088	36.5059	36.5047	36.5273	36.5237	36.5231	36.4948	36.5079	36.5072	36.5029	36.4778	36.4782	36.488	36.489	36.4856	36.4864	36.4885	36.4808	36.4684	36.4789	36.4604	36.4539	36.493	36.4519	36.4619	36.4637	36.4613	36.4796	36.4507	36.4645	36.4401	36.4298	36.4457	36.4005	36.3984	36.3755	36.3696	36.3526	36.3761	36.3678	36.3507	36.3236	36.3218	36.3185	36.2983	36.3185	36.2753	36.2917	36.2683	36.2851	36.3155	36.2691	36.2665	36.261	36.2111	36.2415	36.2189	36.2159	36.206	36.1949	36.1576	36.2173	36.211	36.2071	36.1796	36.1833	36.1462	36.167	36.1427	36.1431	36.1436	36.1137	36.1061	36.0775	36.0391	36.06	36.0749	36.302	36.2588	36.2421	33.4517
